title,rooms,address,price,floor,square,publication_date,link,images
"1-комнатная квартира, 39 м?, 2/16 эт.,2 из 16,""Москва, Южный, Чертаново Южное, ул. Каховка, 33к3 "",2 500 руб.  / день,40 %,1,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6259659485/,[]"
"2-комнатная квартира, 53 м?, 2/9 эт.,2,""Москва, Западный, Проспект Вернадского, просп. Ленинский, 85 "",3 000 руб.  / день,2 из 9,53 м?,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6268832927/,[]"
"1-комнатная квартира, 48 м?, 7/9 эт.,1,""Москва, Юго-Западный, Черемушки, ул. Обручева, 37 "",2 500 руб.  / день,7 из 9,48 м?,Опубликовано 10 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5848563009/,[]"
"2-комнатная квартира, 45 м?, 11,11 ,""Москва, Юго-Западный, Бутово Южное, ул. Скобелевская, 20 "",3 000 руб.  / день,50 %,2,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240255259/,[]"
"3-комнатная квартира, 79 м?, 6/9 эт.,3,""Москва, Центральный, Замоскворечье, пл. Павелецкая, 1 "",3 300 руб.  / день,6 из 9,79 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900603473/,[]"
"2-комнатная квартира, 48 м?, 1/9 эт.,1 из 9,""Москва, Юго-Западный, Коньково, ул. Генерала Антонова, 5 к 2 "",2 500 руб.  / день,30 %,2,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6083028161/,[]"
"2-комнатная квартира, 45 м?, 4,4 ,""Москва, Южный, Нагорный, ул. Нагорная, 38к1 "",3 000 руб.  / день,40 %,2,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240271511/,[]"
"2-комнатная квартира, 45 м?, 3,3 ,""Москва, Южный, Черемушки, ул. Херсонская, 6 "",3 000 руб.  / день,30 %,2,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240255229/,[]"
"2-комнатная квартира, 36 м?, 7/9 эт.,2,""Москва, Северный, Хорошевский, ул. Верхняя, 1 "",2 900 руб.  / день,7 из 9,36 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900603557/,[]"
"3-комнатная квартира, 66 м?, 8,8 ,""Москва, Западный, Дорогомилово, ул. Дорогомиловская Большая, 16 "",3 900 руб.  / день,30 %,3,Опубликовано 16 августа 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6240255139/,[]"
"1-комнатная квартира, 35 м?, 1,1 ,""Москва, Юго-Западный, Обручевский, ул. Обручева, 49 "",2 500 руб.  / день,40 %,1,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240255101/,[]"
"3-комнатная квартира, 76 м?, 4/6 эт.,3,""Москва, Центральный, Тверской, пер. Старопименовский, 16 "",3 500 руб.  / день,4 из 6,76 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901467767/,[]"
"1-комнатная квартира, 36 м?, 11/12 эт.,1,""Москва, Центральный, Тверской, пер. Оружейный, 5 "",2 800 руб.  / день,11 из 12,36 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900679197/,[]"
"2-комнатная квартира, 55 м?, 1/5 эт.,2,""Москва, Центральный, Хамовники, пер. Пуговишников, 8 "",3 200 руб.  / день,1 из 5,55 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900603157/,[]"
"1-комнатная квартира, 36 м?, 3/24 эт.,1,""Москва, Центральный, Арбат, ул. Новый Арбат, 26 "",3 200 руб.  / день,3 из 24,36 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900603271/,[]"
"1-комнатная квартира, 35 м?, 3/9 эт.,1,""Москва, Северо-Западный, Тушино Северное, ул. Вилиса Лациса, 9 "",2 000 руб.  / день,3 из 9,35 м?,Опубликовано 19 августа 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6076899053/,[]"
"2-комнатная квартира, 45 м?, 1/5 эт.,1 из 5,""Москва, Юго-Восточный, Кузьминки, просп. Волгоградский, 123 "",2 500 руб.  / день,100 %,2,Опубликовано 19 августа 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6066274739/,[]"
"1-комнатная квартира, 37 м?, 10/24 эт.,1,""Москва, Центральный, Арбат, ул. Новый Арбат, 22 "",3 000 руб.  / день,10 из 24,37 м?,Опубликовано 07 октября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/6199352721/,[]"
"1-комнатная квартира, 36 м?, 4,4 ,""Москва, Центральный, Арбат, ул. Новый Арбат, 10 "",2 900 руб.  / день,100 %,1,Опубликовано 17 декабря 2018 г.,https://www.gdeetotdom.ru/obj/living/msk/6125316217/,[]"
"1-комнатная квартира, 39 м?, 7/17 эт.,1,""Москва, Центральный, Таганский, ул. Марксистская, 5 "",2 800 руб.  / день,7 из 17,39 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901069275/,[]"
"1-комнатная квартира, 37 м?, 4/5 эт.,4 из 5,""Москва, Юго-Западный, Коньково, ул. Введенского, 26 к 3 "",2 000 руб.  / день,30 %,1,Опубликовано 10 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6082916145/,[]"
"2-комнатная квартира, 44 м?, 3/7 эт.,3 из 7,""Москва, Центральный, Тверской, ул. Брестская 1-я, 33ст1 "",3 000 руб.  / день,100 %,2,Опубликовано 29 января 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6121847857/,[]"
"2-комнатная квартира, 45 м?, 1,1 ,""Москва, Южный, Зюзино, ул. Азовская, 33к1 "",3 000 руб.  / день,40 %,2,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240254805/,[]"
"1-комнатная квартира, 38 м?, 12,1,""Москва, Юго-Западный, Обручевский, ул. Архитектора Власова, 39 "",2 000 руб.  / день,12 ,38 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5861310937/,[]"
"1-комнатная квартира, 38 м?, 4/5 эт.,4 из 5,""Москва, Юго-Западный, Коньково, ул. Профсоюзная, 110К2 "",2 000 руб.  / день,40 %,1,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6041994427/,[]"
"1-комнатная квартира, 40 м?, 12,1,""Москва, Южный, Нагорный, просп. Нахимовский, 27 "",2 500 руб.  / день,12 ,40 м?,Опубликовано 10 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5848574725/,[]"
"1-комнатная квартира, 38 м?, 6/16 эт.,6 из 16,""Москва, Западный, Кунцево, ул. Полоцкая, 25К1 "",1 500 руб.  / день,50 %,1,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5862349247/,[]"
"1-комнатная квартира, 40 м?, 11/14 эт.,1,""Москва, Юго-Западный, Бутово Южное, ул. Веневская, 1 "",1 900 руб.  / день,11 из 14,40 м?,Опубликовано 10 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5911295717/,[]"
"2-комнатная квартира, 45 м?, 4,4 ,""Москва, Юго-Западный, Коньково, ул. Введенского, 24к2 "",3 000 руб.  / день,30 %,2,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6240254743/,[]"
"1-комнатная квартира, 34 м?, 2,2 ,""Москва, Центральный, Пресненский, ул. Брестская 2-я, 31 "",2 500 руб.  / день,100 %,1,Опубликовано 29 января 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6116042897/,[]"
"2-комнатная квартира, 52 м?, 8,8 ,""Москва, Западный, Дорогомилово, просп. Кутузовский, 21 "",3 500 руб.  / день,100 %,2,Опубликовано 17 декабря 2018 г.,https://www.gdeetotdom.ru/obj/living/msk/6125316241/,[]"
"2-комнатная квартира, 42 м?, 4/9 эт.,4 из 9,""Москва, Юго-Западный, Черемушки, ул. Гарибальди, 4к6 "",2 500 руб.  / день,40 %,2,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/6091617117/,[]"
"1-комнатная квартира, 37 м?, 3,1,""Москва, Западный, Кунцево, ул. Бобруйская, 2 "",1 500 руб.  / день,3 ,37 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5850807665/,[]"
"1-комнатная квартира, 37 м?, 3,1,""Москва, Западный, Кунцево, ул. Кунцевская, 8К2 "",1 500 руб.  / день,3 ,37 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5850807887/,[]"
"1-комнатная квартира, 37 м?, 10,1,""Москва, Юго-Западный, Ясенево, ул. Профсоюзная, 105 "",2 000 руб.  / день,10 ,37 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5850612939/,[]"
"2-комнатная квартира, 57 м?, 11/14 эт.,2,""Москва, Центральный, Хамовники, ул. Усачева, 25 "",2 700 руб.  / день,11 из 14,57 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5856926799/,[]"
"1-комнатная квартира, 33 м?, 4/9 эт.,1,""Москва, Северный, Хорошевский, ул. Верхняя, 3 "",2 400 руб.  / день,4 из 9,33 м?,Опубликовано 26 января 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/5882041829/,[]"
"1-комнатная квартира, 42 м?, 1/9 эт.,1,""Москва, Центральный, Таганский, ул. Народная, 9 "",2 400 руб.  / день,1 из 9,42 м?,Опубликовано 26 января 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/5900679857/,[]"
